대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
서울특별시 성동구 사근동 193-2,11200,10600,0,0193,0002,202504,서울특별시 성동구 사근동10길 20-5 (사근동) ,1,112004109282,0,20,5,269
서울특별시 성동구 사근동 193-2,11200,10600,0,0193,0002,202505,서울특별시 성동구 사근동10길 20-5 (사근동) ,1,112004109282,0,20,5,260
서울특별시 성동구 사근동 193-2,11200,10600,0,0193,0002,202506,서울특별시 성동구 사근동10길 20-5 (사근동) ,1,112004109282,0,20,5,267
서울특별시 성동구 사근동 193-2,11200,10600,0,0193,0002,202507,서울특별시 성동구 사근동10길 20-5 (사근동) ,1,112004109282,0,20,5,337
서울특별시 성동구 사근동 193-2,11200,10600,0,0193,0002,202508,서울특별시 성동구 사근동10길 20-5 (사근동) ,1,112004109282,0,20,5,456
서울특별시 성동구 사근동 193-2,11200,10600,0,0193,0002,202509,서울특별시 성동구 사근동10길 20-5 (사근동) ,1,112004109282,0,20,5,389
서울특별시 성동구 사근동 193-13,11200,10600,0,0193,0013,202501,,1,,,,,371
서울특별시 성동구 사근동 193-13,11200,10600,0,0193,0013,202502,,1,,,,,280
서울특별시 성동구 사근동 193-13,11200,10600,0,0193,0013,202503,,1,,,,,229
서울특별시 성동구 사근동 193-13,11200,10600,0,0193,0013,202504,,1,,,,,199
서울특별시 성동구 사근동 193-13,11200,10600,0,0193,0013,202505,,1,,,,,300
서울특별시 성동구 사근동 193-13,11200,10600,0,0193,0013,202506,,1,,,,,675
서울특별시 성동구 사근동 193-13,11200,10600,0,0193,0013,202507,,1,,,,,407
서울특별시 성동구 사근동 193-13,11200,10600,0,0193,0013,202508,,1,,,,,563
서울특별시 성동구 사근동 193-13,11200,10600,0,0193,0013,202509,,1,,,,,718
서울특별시 성동구 사근동 193-44,11200,10600,0,0193,0044,202501,서울특별시 성동구 사근동10가길 5 (사근동) ,1,112004109281,0,5,0,407
서울특별시 성동구 사근동 193-44,11200,10600,0,0193,0044,202502,서울특별시 성동구 사근동10가길 5 (사근동) ,1,112004109281,0,5,0,513
서울특별시 성동구 사근동 193-44,11200,10600,0,0193,0044,202503,서울특별시 성동구 사근동10가길 5 (사근동) ,1,112004109281,0,5,0,424
서울특별시 성동구 사근동 193-44,11200,10600,0,0193,0044,202504,서울특별시 성동구 사근동10가길 5 (사근동) ,1,112004109281,0,5,0,287
서울특별시 성동구 사근동 193-44,11200,10600,0,0193,0044,202505,서울특별시 성동구 사근동10가길 5 (사근동) ,1,112004109281,0,5,0,227
서울특별시 성동구 사근동 193-44,11200,10600,0,0193,0044,202506,서울특별시 성동구 사근동10가길 5 (사근동) ,1,112004109281,0,5,0,227
서울특별시 성동구 사근동 193-44,11200,10600,0,0193,0044,202507,서울특별시 성동구 사근동10가길 5 (사근동) ,1,112004109281,0,5,0,247
서울특별시 성동구 사근동 193-44,11200,10600,0,0193,0044,202508,서울특별시 성동구 사근동10가길 5 (사근동) ,1,112004109281,0,5,0,281
서울특별시 성동구 사근동 193-44,11200,10600,0,0193,0044,202509,서울특별시 성동구 사근동10가길 5 (사근동) ,1,112004109281,0,5,0,270
서울특별시 성동구 사근동 196,11200,10600,0,0196,0000,202501,,1,,,,,49584
서울특별시 성동구 사근동 196,11200,10600,0,0196,0000,202502,,1,,,,,52858
서울특별시 성동구 사근동 196,11200,10600,0,0196,0000,202503,,1,,,,,45462
서울특별시 성동구 사근동 196,11200,10600,0,0196,0000,202504,,1,,,,,46156
서울특별시 성동구 사근동 196,11200,10600,0,0196,0000,202505,,1,,,,,42796
서울특별시 성동구 사근동 196,11200,10600,0,0196,0000,202506,,1,,,,,43995
서울특별시 성동구 사근동 196,11200,10600,0,0196,0000,202507,,1,,,,,53782
서울특별시 성동구 사근동 196,11200,10600,0,0196,0000,202508,,1,,,,,73212
서울특별시 성동구 사근동 196,11200,10600,0,0196,0000,202509,,1,,,,,67364
서울특별시 성동구 사근동 196-4,11200,10600,0,0196,0004,202501,서울특별시 성동구 살곶이길 188 (사근동) ,1,112004109304,0,188,0,3147
서울특별시 성동구 사근동 196-4,11200,10600,0,0196,0004,202502,서울특별시 성동구 살곶이길 188 (사근동) ,1,112004109304,0,188,0,2818
서울특별시 성동구 사근동 196-4,11200,10600,0,0196,0004,202503,서울특별시 성동구 살곶이길 188 (사근동) ,1,112004109304,0,188,0,3783
서울특별시 성동구 사근동 196-4,11200,10600,0,0196,0004,202504,서울특별시 성동구 살곶이길 188 (사근동) ,1,112004109304,0,188,0,3912
서울특별시 성동구 사근동 196-4,11200,10600,0,0196,0004,202505,서울특별시 성동구 살곶이길 188 (사근동) ,1,112004109304,0,188,0,4199
서울특별시 성동구 사근동 196-4,11200,10600,0,0196,0004,202506,서울특별시 성동구 살곶이길 188 (사근동) ,1,112004109304,0,188,0,4589
서울특별시 성동구 사근동 196-4,11200,10600,0,0196,0004,202507,서울특별시 성동구 살곶이길 188 (사근동) ,1,112004109304,0,188,0,5064
서울특별시 성동구 사근동 196-4,11200,10600,0,0196,0004,202508,서울특별시 성동구 살곶이길 188 (사근동) ,1,112004109304,0,188,0,4654
서울특별시 성동구 사근동 196-4,11200,10600,0,0196,0004,202509,서울특별시 성동구 살곶이길 188 (사근동) ,1,112004109304,0,188,0,4295
서울특별시 성동구 사근동 198-5,11200,10600,0,0198,0005,202501,서울특별시 성동구 사근동길 74 (사근동) ,1,112004109297,0,74,0,249
서울특별시 성동구 사근동 198-5,11200,10600,0,0198,0005,202502,서울특별시 성동구 사근동길 72 (사근동) ,1,112004109297,0,72,0,168
